speech,date,state,year
"Mr. President. I can hardly believe it has been 5 years since 53. Pt. 20 28395 we lost Paul and Sheila Wellstone. It still seems like only yesterday that I would see Paul pacing up and down the aisles on the Senate floor. speaking out for Minnesota and what he so affectionately called the ""little fellers"" in the world. There isnt a day that goes by that I dont miss him and beloved wife and soul mate. Sheila. but the loss is especially poignant in these tough times our country faces. I remember during the Iraq war debate. Paul spoke out passionately against the resolution authorizing the goitalone military approach in Iraq. He spoke. almost prophetically. about the possible consequences of our actionshow it would impact the continuing war on terrorism and efforts to rebuild Afghanistan. He said that the gravest concerns were those raised about the possible loss of lifeto our soldiers and innocent Iraqis. I can hardly imagine what he would think of the mess we are in today. That day. Paul was strong and unafraid. as he always was. even though he knew his ""no"" vote could cost him his Senate seat. He said then that the ""only way to do it. Is to do what you honestly think is right. and then whatever happens. happens."" I think history has shown that Paul was absolutely right. And my only regret is that he is not here today to continue speaking out against the war in Iraq. There are times when it is positively exhausting to keep fighting for just causes. especially against this administration. But then I look at the wall in my office and I see a beautiful picture of Paul and me together. and I think of what he would say if he was still here. and I am sure he would tell me to stand up and keep fighting. We all lost so much 5 years ago on that tragic dayPaul. a fighter. a hero. a friend. a father. a grandfather. And of course we lost Shelia. Pauls partner in life. their daughter Marcia. and three devoted staffers. My heart still aches. But what we gained. from Pauls life and legacy. cannot be erased by time. His passion and lifes work is being carried on by his friends and colleagues. and by the good people of Minnesota. who I know miss him dearly. And I know that if he could. Paul would tell us that there is no time for tears. and as he said many years ago. this is no time for timidity.",2007-10-25,CA,2007
"Madam Speaker. I thank the gentleman for accommodating me so I might have some time to speak on this issue this evening. Today. Speaker PELOSI has continued with what is called a debate on the Iraq war. but this is not a debate. The floor here is empty. except for the Members scheduled to come to the floor for the record and comment on the failures or success of the war on terror. the conflict in Iraq. prewar intelligence. the search for weapons of mass destruction. reconstruction efforts. al Qaeda. Saddam Hussein and. yes. George Bush. No real debate. School children across America who are schooled in debate would not recognize what has happened here today. which should be the intellectual process of argument. because to call these series of speeches a debate is fiction. just as to call the nonbinding resolution proposed by the Speaker as congressional action is fiction. This resolution has no binding effect on the administration. and it does not even have any binding effect on this body of Congress. This resolution is not a document from which decisions will be made or any action taken. This is not policy. This is not governance. It is. at best. a press conference. It is just talk. The travesty of this fiction of a debate on the House floor is that there is no plan debated or alternatives for us to consider. only opposition. We do not have on the table a plan. an answer. or an action for us to take. Now. I was not a Member of Congress when this House was asked in October of 2002 to grant the President authority to go into Iraq. and neither were 66 of my Republican Members of Congress. If they were with me they would fill this well. 66 of us that were not here on the Republican side when the President asked for authority to go into Iraq. However. I believe there are 55 Democratic colleagues who voted to send troops to Iraq who are still here today. and yet even those 55 Members who voted to send troops to Iraq offer no alternative plan. At a minimum you would think if you voted ""yes"" to send troops you would feel responsible and have a plan before publicly disapproving of the Presidents plan. Now. there is certainly enough about the administrations handling of the Iraq conflict to disapprove of if we were to have a real debate. There is no question that serious mistakes have been made in the execution of the Iraqi conflict. But today we will not debate solutions because. unfortunately. this resolution does not provide any. In the war on terror. we have real enemies who want to kill Americans and our allies. No nonbinding resolution passed on this House floor will change that reality. This is not a debate but it should be. The risks to our country are great. Our enemies and our men and women in uniform are listening. The only proposal brought forth by the Speaker is a statement of opposition and disapproval. The House and the administration should work together on a bipartisan plan for winning the war on terror. a plan with a commitment that is not undermined by political expediency or partisan division.",2007-02-14,OH,2007
"Mr. Speaker. since learning we would consider a resolution regarding troop levels in Iraq. I have spent considerable time listening to veterans of this war and other wars questioning some of Americas top national security officials. reading every email. literally every letter on this most serious issue of this day that has come into my office from my constituents. I have listened to voices of leaders of other nations who surround Iraq. I have read the National Intelligence Report. I have read the Iraq Study Committee Report. I have been given books such as ""Fiasco"" to digest. and I have reached out to the parents of brave Americans who are on their way into this conflict. and I have heard from the parents of sons who were lost in this conflict. I have heard strong opinions on both sides of this issue. and I have reflected upon my own vote to authorize the war in the first place. To say the least. it has been an agonizing experience. Agonizing. because I want to do what is right for America with minimal sacrifice to the brave Americans who wear our Nations uniform. I want to do what is right to protect our freedom and our security. I will always remember the days and nights when the smoke from the burning Pentagon wafted into the apartment I lived in just blocks from that building. I remember the images of that day when rescue personnel were trying to save lives. only to lose their own. I remember the pledge I made to myself that I would never let that happen to America again if I had my way. So I supported implementation of the 9/11 Commission Report. I supported efforts to improve our intelligence gathering and processing efforts so that America does not miss key indicators of danger or. worse. misinterpret the data that is gathered. Policymakers must be given accurate.. reliable intelligence if we are to make responsible decisions. Had Congress been given an accurate intelligence assessment. I doubt the vote to invade Iraq would ever have come to this floor in the first place. and I certainly would not have cast the vote I cast because the threat was not what we were told it was. despite the horrific brutality of Saddam Hussein and his henchmen sons. Unfortunately. though. we cannot edit history. we cannot change the past. Our responsibility is to the present and even more so to the future. Americas future. In some areas of the world. America has made strong diplomatic progress on the most difficult issues facing our planet. I speak of the recent agreement with North Korea coming out of the Six Party talks. I am reminded of the willingness of Libya to give up Its weapons of mass destruction and come into line with the world community. And while much work remains regarding Irans nuclear development. Americas work with other countries and through the United Nations is having an effect on Iran. Meanwhile. our troops and our work internationally in Afghanistan continues to show progress. even in light of the recent resurgence of the Taliban. Consider the historic role NATO is playing to bring peace and stability to that faroff land. So if we are accomplishing good in Afghanistan and elsewhere. why is the situation in Iraq still such a mess? And what can or should America do there now that will hasten Iraqs move towards stability and hasten the bringing home of our troops to America? As my colleague from New Mexico. HEATHER WILSON. so eloquently and forcefully asked this week: What are Americas strategic interests in Iraq. and how can we best achieve them? These are the serious questions of our day. and these are the issues tragically missing from this nonbinding resolution. In this new world where war is not waged by armies in uniform with codes of honor but by terrorists who blow up food markets and behead journalists. how do we respond in an effective way to prevent the insanity from coming again to our shores? How best do we prevent a whole region from ripping apart at the seams and perhaps taking much of the world with it? While Congress has a clear constitutional role and responsibility when the Nation is at war. where is the line that Congress should not cross? Are we really best equipped to decide precisely how many reinforcements are sent into which battle? Isnt that a decision best left to the commanders in the field? Can Congress really give General Petraeus a unanimous vote of support to lead our effort in Iraq and then turn around and deny him the strategy he told us he believes is necessary to win? A former colonel in the Air Force wrote to me recently on this very topic. She said. ""Some in Congress say they support General Petraeus but dont want them to undertake the mission they were confirmed to do. It seems right out of Alice in Wonderland."" And if Congress is going to make these decisions. then have we really carefully analyzed where the other 134.754 troops in Iraq are. what they are doing. and what they should do? Another of the emails I received was from a veteran of the Vietnam War who. like many other veterans of that conflict. urged me to vote against this resolution. and he wrote. ""Our troops need unqualified support. They dont need to be told they are participating in a lost cause."" Indeed. this twosentence nonbinding resolution does send a very mixed message to our troops. Moreover. this resolution is a lost opportunity to address at least five major issues that a serious Congress needs to address. First. this resolution fails to even mention the Iraqi role. Where is the siren call for the Iraqi government to keep its word and perform as promised? We cannot expect for long to do for Iraq what it is unwilling to do for itself. Second. this resolution fails to even mention the need for this administration to embrace the Iraq Study Group Reports call for aggressive diplomatic initiatives with Syria. Iran. and other nations in Iraqs neighborhood. Where is the call for enhanced diplomacy? Third. this resolution fails to even mention the need to replenish the equipment that our National Guard units have left behind while serving our country overseas. My States own National Guards ability to conduct training is deeply affected by lack of equipment. Fourth. this resolution fails to call on Iran. Syria. and other nations to stop directly or indirectly supplying the weapons and explosives to those who detonate car bombs in Baghdad and elsewhere in Iraq. killing women and children as they try to buy food in local markets. Where is the condemnation of their actions? Fifth. this resolution fails to define what our strategic national interests are in Iraq and how we can best achieve them. I know that I stand alone in my States delegation by opposing this resolution. I have been told by some I should just vote for it. It would be easier politically for me because then the problem is off my back. It is someone elses. They will own it. I cannot do that and look at myself in the mirror. I cannot ignore the counsel recently given to us by diplomats in the region whose advice we ignored when America took on this challenge in Iraq and who now counsel us with most seriousness in the strongest of terms against leaving Iraq before the country is stabilized. They have made it clear to this Member of Congress that failure in Iraq will have grave and dangerous consequences to the entire region. In short. we broke it. we need to fix it before we leave it. But fixing Iraq does not mean ending religious differences. differences that have ripped apart that region for 1.300 years or more. Fixing Iraq does not mean installing our form of democracy. Fixing Iraq means ensuring a new terrorist haven is not created or allowed to be created from which they can train and plan safely to carry out attacks against the West. Fixing Iraq means ensuring their government can stand on its own and not collapse into a sinkhole that drags other nations in the region into an abyss. Given the glaring shortcomings of the nonbinding resolution we have before us today. I will vote ""no"" for as many of those who served in Vietnam have told me its message does undercut our troops. Moreover. it fails to call for the increased diplomatic initiatives in the region. it fails to call for Iraq to do its part. it fails to define our strategic national interests of stabilizing Iraq so as to prevent the creation of another terrorist training haven. and it fails to address the very real needs of our National Guard. It is unfortunate that the opportunity to actually affect these very serious policy choices was not allowed on the Floor of the House today. It is. indeed. a missed opportunity for America.",2007-02-16,OR,2007
I thank my friend. the distinguished gentleman. for yielding time to me this afternoon. Madam Speaker. I rise today on behalf of Floridas 16th Congressional District in support of House Resolution 97. providing cost accountability for the Iraq war. If we take a look at what has happened over these past 5 years. America has rid Iraq of a brutal dictator. America has given the Iraqi people a chance to create their own democracy. and we have invested over $400 billion and more than 3.000 American lives in securing their country. Madam Speaker. it is time for the Iraqis to step up and to take control of their destiny and their own security. And it is imperative that any future American financial expenditures In the Iraq war be subject to accountability and transparency. An estimated $9 billion of Iraqi reconstruction funds are missing. According to a January 2005 report by the Office of the Special Inspector General of Iraq Reconstruction. these $9 billion have gone missing because of inefficiencies and bad management. For the past 4 years. Congress has not exercised the oversight and accountability necessary to ensure that our money is being used effectively to support our troops to achieve our objectives in Iraq. We have paid billions of dollars to private contractors for work in Iraq. at the same time. the reports have uncovered waste. fraud. abuse. and even possible war profiteering by some of these contractors. In a war already lacking manpower. resources. and international support needed to maximize our chance of success. it is criminal that billions of dollars are unaccounted for. Congressional oversight is needed to make sure that our money is used to support our troops. not lost to profiteering and fraud. House Resolution 97 would require that future Iraq spending is marked by transparency and accountability. instead of systemic waste. fraud. and abuse. The resolution calls for the creation of a Truman Commission to investigate how contracts are awarded. increases transparency so we know how Iraq war funds are spent. demands that fiscal requests for fiscal year 2008 and later go through the normal appropriations process instead of emergency supplementals. and calls for resources to be used to improve Iraqi assumption of policing operations. Madam Speaker. these criteria are long overdue. I encourage my colleagues to support House Resolution 97 to ensure that transparency and accountability are the hallmarks of any future funding of the Iraq war.,2007-03-13,FL,2007
Mr. President. I say through the Chair to my good friend. the distinguished Republican leader. a 60vote threshold on everything is something that is new as a result of a minority that is forcing us to have cloture on virtually everything we do. If we go back and look at the Defense bill last year. there were no cloture votes except on final passage of the bill. All amendments were simple majorities. and a significant number of them dealt with Iraq. The 60vote requirement is something that is new and has been brought about by this new minority. It is something we didnt do last year. We shouldnt do it this year. The Webb amendment is a simple amendment. It says that if you are in countrylets say a soldier Is in Iraq for 15 months. He has to come home and rest for 15 months. train for 15 months. The way it is happening now. they are being rotated very quickly. This isnt the first time this has happened. The Senate has constitutional authority to act. Take for example the Korean war. We were rushing people over to Korea with inadequate training. Congress stepped in and passed a law saying they needed 120 days of training before they could go to Korea. The Webb amendment is in keeping with what the American people want. that is. to change course in Iraq. This helps do that by dictating that our Guard and Reserve and our Active military have time to come home and retrain and relax before being sent into battle. Statistics show that the second and third and fourth tours of duty are literally deadly. People are getting killed more regularly on the second and third and fourth tours of duty than they are on the first tour for obvious reasons. The obvious reason. first. is fighting is becoming more fierce. and it is more dangerous in Iraq. but also the soldiers are tired. I called a family in Las Vegas whose son was killed. He went back for his fourth tour of duty and he told everyone there: I wont come back. He didnt. He was killed. That is what this amendment is all about. A simple majority of the Senate should be able to respond to that.,2007-07-11,NV,2007
"Madam President. let us proceed with this debate. keeping in mind that the underlying bill. the National Defense Authorization Act. contains many nonIraq provisions which constitute good defense policy and which will strengthen the ability of our country to defend itself. That is why the committee voted unanimously to report the bill. which fully funds the Presidents $648 billion defense budget request. authorizes a 3.5percent pay raise for all military personnel. increases Army and Marine endstrength. reforms the system that serves wounded veterans. and provides necessary measures to avoid waste. fraud. and abuse in defense procurement. It is a good bill. It is a bipartisan bill. I believe we need to send it to the Presidents desk. While the Senate moved off the bill in July and on to other things and then went on to a monthlong recess. Americas soldiers. marines. sailors. and airmen continued fighting bravely and tenaciously in Iraq in concert with their Iraqi counterparts. Some Senators undoubtedly welcomed the delay in considering the Defense bill. believing that General Petraeus would deliver to Congress a report filled only with defeat and despair. If this was their hope. they were sorely disappointed. As we all now know. General Petraeus and Ambassador Crocker reported what some of us argued before the bill was pulled 2 months ago: that the surge is working. that we are making progress toward our goals. and that success. while long. hard. and by no means certain. is possible. We are succeeding only after 4 years of failures. years which have exacted an enormous cost on our country and on the brave men and women who fight in Iraq on our behalf. Some of us from the beginning warned against the Rumsfeld strategy of too few troops. insufficient resources. and a plan predicated on hope rather than on the difficult business of stabilization and counterinsurgency. We lost years to that strategy. years we cannot get back. In the process. the American people became saddened. frustrated. and angry. I. too. am heartsick at the terrible price we have paid for nearly 4 years of mismanaged war. But I also know America cannot simply end this effort in frustration and accept the terrible consequences of defeat in Iraq. We cannot choose to lose in Iraq. I believe we must give our commanders the time and support they have asked for to win this conflict. Ralph Peters. the distinguished military strategist. summed it up best. noting that Congresss failure to support General Petraeus: Would be a shame. since. after nearly 4 years of getting it miserably wrong in Iraq. we are finally getting it right. In 2 days of testimony and countless interviews. General Petraeus and Ambassador Crocker described how we are finally getting it right. We finally have in place a counterinsurgency strategy. one we should have been following from the beginning. which makes the most effective use of our strength and does not advance the tactics of our enemy. This new strategy. backed by a tactical surge in troops. is the only approach that has resulted in real security improvements in Iraq. General Petraeus reported that the overall number of ""security incidents"" in Iraq has declined in 8 of the last 12 weeks and that sectarian violence has dropped substantially since the change in strategy. Civilian deaths nationwide are down by nearly half since December and have dropped by some 70 percent in Baghdad. Deaths resulting from sectarian violence have come down by 80 percent since December. and the number of car bombings and suicide attacks has declined in each of the past 5 months. Anyone who has traveled recently to Anbar or Diyala or Baghdad can see the improvements that have taken place over the past months. With violence down. commerce has risen. and the bottomup efforts to forge counterterrorism alliances are bearing tangible fruit. This is not to argue that Baghdad or other areas have suddenly become safethey have notbut such positive developments illustrate General Petraeuss contention that Americans and Iraqi forces have achieved substantial progress. There are many challenges remaining. and the road ahead Is long and tough. The Malik1 government has not taken advantage of our efforts to enable reconciliation and is not functioning as It must. While violence has declined significantly. it remains high. and success is not certain. We can be sure. however. that should the Congress choose to lose by legislating a date for withdrawal. and thus surrender. or by mandating a change in mission that would undermine our efforts in Iraq. then we will fail for certain. Make no mistake. the consequences of Americas defeat in Iraq will be terrible and long lasting. There is in some corners a belief that we can simply turn the page In Iraq. come home. and move on to other things. This is dangerously wrong. If we surrender in Iraq. we will be backin Iraq and elsewherein many more desperate fights to protect our security and at an even greater cost in American lives and treasure. Two weeks ago. General Jim Jones testified before the Armed Services Committee and outlined what he believes to be the consequences of such a course: ""a precipitous departure which results in a failed state in Iraq."" he said. ""will have a significant boost in the numbers of extremists. jihadists. in the world. who will believe that they will have toppled the major power on Earth and that all else is possible. And I think it will not only make us less safe. it will make our friends and allies less safe. And the struggle will continue. It will simply be done in different and in other areas."" Some Senators would like to withdraw our troops from Iraq so we can get back to fighting what they believe to be the real war on terror. This. too. is inaccurate. Iraq has become the central front in the global war on terror. and failure there would turn Iraq into a terrorist sanctuary. in the heart of the Middle East. next door to Iran. the worlds largest statesponsor of terrorism. If we fail in Iraq. we will concede territory to jihadists to plan attacks against America and our friends and allies. The region could easily descend into chaos. wider war. and genocide. and we should have no doubt about who will take advantage. The Iranian President has stated his intentions bluntly. This is the same fellow who announced his dedication and his nations dedication to the extinction of the state of Israel the same President of the country that is exporting lethal explosive devices of the most lethal and dangerous kind into Iraq. killing American service men and women. This President said this: Soon. we will see a huge power vacuum in the region. Of course. we are prepared to fill the gap. We cannot allow an Iranian dominated Middle East to take shape in the context of wider war and terrorist safehavens. General Jones is just one of many distinguished national security experts who warn against the consequences of a precipitous withdrawal from Iraq. As Brent Scoweroft said. ""The costs of staying are visible. the costs of getting out are almost never discussed . . . If we get out before Iraq is stable. the entire Middle East region might start to resemble Iraq today. Getting out is not a solution."" Natan Sharansky has. written that a precipitous withdrawal of U.S. forces ""could lead to a bloodbath that would make the current carnage pale by comparison."" And Henry Kissinger warns that. ""An abrupt withdrawal from Iraq would not end the war. it would only redirect it."" The proponents of withdrawal counter that none of these terrible consequences would unfold should any of their various proposals become law. On the contrary. they argue. U.S. forces could. when not engaged in training the Iraqi forces. engage in targeted counterterrorism operations. But our own military commanders say that such a narrow approach to the complex Iraqi security environment will not succeed. and that moving in with search and destroy missions to kill and capture terrorists. only to immediately cede the territory to the enemy. is a recipe for failure. How can they be so sure? Its simplethis focus on training and counterterrorism constitutes the very strategy that so plainly failed for the first four years of this war. To return to such an unsuccessful approach is truly ""staying the course."" and it is a course that will inevitably lead to our defeat and to catastrophic consequences for Iraq. the region. and the security of the United States. General Petraeus and his commanders have embraced a new strategy. one that can. over time. lead to success in Iraq. They are fighting smarter and better. and in a way that can give Iraqis the security and opportunity to make decisions necessary to save their country from the abyss of genocide and a permanent and spreading war. and in a way that will safeguard fundamental American interests. They ask just two things of us: the time to continue this strategy and the support they need to carry out their mission. They must have both. and I will fight to ensure that they do. As we engage in this debate. I hope that each of us will recall our most solemn allegiance. which is not to party or politics but to country. I have heard on this floor the claim that our efforts in Iraq somehow constitute ""Bushs war"" or the ""Republican war."" Nothing could be farther from the truth. Presidents do not lose wars. Political parties do not lose wars. Nations lose wars and suffer the consequences. or prevail and enjoy the blessings of their success. All of us want our troops to come home. and to come home as soon as possible. But we should want our soldiers to return to us with honor. the honor of victory that is due all of those who have paid with the ultimate sacrifice. We have many responsibilities to the people who elected us. but one responsibility outweighs all the others. and that is to protect this great and good Nation from all enemies foreign and domestic. This is a serious debate and one we engage at a time of national peril. The Americans who make the greatest sacrifices have earned the right to insist that we do our duty. as best we can and remember to whom and what we owe our first allegianceto the security of the American people and to the ideals upon which our Nation was founded.",2007-09-18,AZ,2007
"Mr. Speaker. I yield myself such time as I may consume. Mr. Speaker. the gentlelady who spoke just before me. our respected Speaker. is a person I have worked with for most of my life in public affairs. Our Speaker suggested that the President was wrong. and. Mr. Speaker. 1 humbly suggest that in this instance. our esteemed Speaker is wrong. Madam Speaker. it was no secret that this conference report was going to be vetoed. Early on. the President made very clear his intention to veto this legislation because of the Iraq withdrawal language and the many unrelated and costly spending items that have absolutely nothing to do with the global war on terror and recovery efforts on the gulf coast. It is no secret that many Members of the House and Senate. both Republicans and Democrats. had strong reservations about the manner in which this legislation undermined the authority of the President. our Commander in Chief. From the beginning of this process. Members have expressed their concern about how this legislation placed military decisions in the hands of politicians rather than military commanders in the field. The last thing our country or our troops need is to have 536 Members and Senators micromanaging the war in Iraq. That simply is not our job. Madam Speaker. Recent history reminds us that the enemy we face in Iraq. Afghanistan and in other countries that harbor terrorists will stop at nothing to attack the United States and our allies. My colleagues. now is not the time for the United States to back down from its commitment to the war on terror. Now is not the time for America to signal retreat and surrender. Indeed. now is not the time for the House of Representatives to throw in the towel. wave the white flag or signal retreat and surrender in Iraq. How could this Congress walk away from our men and women in uniform? How could we walk away from them now? We must not let that happen. We must support our troops. Our failure to learn the lessons of history. our failure to lead. will result in devastating consequences. including an even greater loss of life and even more resources needed to fight tomorrow. r0 1315 It is absolutely essential that America. the last remaining superpower on Earth. continue to be a voice for peace and a beacon of freedom in our shrinking world. Walking away would further signal to Syria. Iran. Afghanistan. and others that the United States is no longer committed to a successful outcome in Iraq. Before closing my remarks. I want to express my disappointment and dismay at yesterdays political and theatrical display by Speaker PELosi and Senator REID. The delivery of this conference report to the White House was intentionally delayed so the Presidents veto would coincide with the fourth anniversary of the President declaring ""Mission Ac.53. Pt. 8 11019 complished."" This display in sending the supplemental to the President was a deliberate and shameful attempt at scoring political points solely at the expense of our troops. Mr. Speaker. this veto has been anticipated for some time. The majority party has had ample time to plan and prepare for the next step. Passing a clean supplemental free of arbitrary deadlines and excessive spending is obviously the path we should be following. There is $20 billion. $20 billion. in this package unrelated to the war effort and the gulf coast recovery. That money is designated as emergency spending. Every nickel of this unrelated spending should be removed from the emergency supplemental. All this spending should be debated in regular order through the fiscal year 2008 appropriations process. In closing. I say to my colleagues on the other side of the aisle: Youve made your point. Youve had your dogandpony show. You have posed for political holy pictures on TV. Now what is your plan to support the troops? It is time to put the posturing and political stunts aside and do what is in the best interest of our troops. It is time to do the right thing and pass a clean emergency supplemental free of arbitrary deadlines and arbitrary spending. It is time to support our Commander in Chief and sustain the Presidents veto. I strongly urge a "".no"" vote. Mr.: Speaker. I reserve the balance of my time.",2007-05-02,CA,2007
Mr. Speaker. our intelligence agencies have confirmed that al Qaeda is stronger in numbers and effectiveness than it has ever been. And thats because 5 years ago. when we had bin Laden cornered and crippled. we outsourced the job of capturing him. And then we diverted our focus and our resources to Iraq. which turned out to be his greatest dream realized because it gave him so many propaganda tools as a rallying cry and a recruiting tool. And thats just what happened. And now. when President Bush says that he envisions a military presence in Iraq similar to South Korea. well. weve been in South Korea for 50 years. this plays into their propaganda. We need to make clear there will be no permanent military bases in Iraq. that we are not there as occupiers. but rather as liberators. Lets start getting serious about winning this global war on terrorism. We can start today by passing the resolution declaring that the Congress is unequivocally opposed to permanent military bases In Iraq.,2007-07-25,VA,2007
"Mr. President. I thank my colleague. Senator LEVIN. for yielding time and also for being the principal author of the LevinReed amendment. the amendment we are considering today. There will be a vote shortly. The amendment recognizes that we have responsibilities in Iraq. but it also recognizes the constraints we face in Iraq. The first principal constraint is a lack of sufficient forces to maintain the current force level there. That alone must drive a change in mission for our military forces in Iraq. But it also recognizes the fundamental dynamic in Iraq. which is a political dynamic. It is a political dynamic that must be achieved. not by the United States but by Iraqi political leaders. When the President announced the surge in January. be made it very clear that the whole purpose was to provide these leaders with the political space and the climate to make tough decisions. Frankly. those decisions have not been made. What we have gained on the ground has been tactical momentum. Any time you insert the greatest Army and Marine Corps and Air Force and Navy in September 21. 2007 CONGRE the world into a situation. you are going to make progressand we have. But the real question there is. Will that progress last when we inevitably begin to draw our forces down. as General Petraeus has announced? I think most people would suggest probably not. So we are left with the reality on the ground and the reality here at homewaning support for a policy that the American people believe is misguided and has been incompetently executed by the administration. We have to change the mission. and the core of the LevinReed amendment is to change that mission. to go away from an openended ""we will do anything you want. Mr. Maliki. even if you dont do anything we want"" to focused counterterrorism. training Iraqi security forces. and protecting our forces. It also recognizes that we have to have a timeframe in which to do those things. I am encouraged and I think all should be encouraged that a year ago when we started talking about initiating withdrawal of forces from Iraq. that was an item which was not only hotly debated on the floor but severely criticized. General Petraeus has told us he will propose and will probably implement a withdrawal of forces before the end of this year. That is part 1 of the LevinReed approach. The second is to begin a transition to these missions. and we hope that can be accomplished in a very short period of time. Finally. we would like to see these missions fully vetted. fully set out and implemented on the ground. moving away from the openended approach within a fixed period of time. This approach. together with a very aggressive diplomatic approach. we believe is the key to contributing not just to the stability of Iraq but to the longterm interests of the United States in the region and the world. I hope we are able to agree to this amendment. to pick up support. We have listened to General Petraeus. Frankly. he has in part agreed with us. in terms of beginning withdrawal. He has suggested. but not definitively. that some transition sometime down the road must take place. But I thinksurprisingly to me. at leastwhen asked what should we do in the next year. he essentially said: I cant tell you until next March. and then I will tell you. We have to have a plan. a strategy for this country that certainly goes beyond next March. The world and our strategic interests will not start and stop in March. They are continuous. they are challenging. and we have to face the best course of action going forward. We believeI believe stronglythis is the best course of action. This war in Iraq has cost billions of dollars. More profoundly and more fundamentally. it has taken the lives of over 3.700 American service men and women. It has injured countless. I think the American public is genuinely not only concerned but in a literal sense heartbroken about what is going on. They are asking usindeed. demanding of usif the President is unwilling to act. that we act to change the course. to provide a strategy and a policy that is consistent with our interests. with our resources. and with our ideals that will help us move forward. I hope in the next several minutes as this vote comes to the floor that the message of the American people will be heard and heeded and that we will adopt the LevinReed amendment. I yield my time.",2007-09-21,RI,2007
"Mr. President. I think the Senator is accurate. I have studied the Levin amendment. I am opposed to it because of the fixed timetables. But lets proceed to the second one. I think we have covered the first. and I find it very helpful. The second finding: The Iraq Study Group report found that ""[a] chaotic Iraq could provide a still stronger base of operations for terrorists who seek to act regionally or even globally."" To me that seems to have some basis in fact. Does the Senator agree with that?",2007-07-16,VA,2007
